X: -99.000000, Y: -59.000000, Z: -57.000000, Data: 3.150000
X: -99.000000, Y: -59.000000, Z: -58.000000, Data: 3.418750
X: -99.000000, Y: -59.000000, Z: -59.000000, Data: 3.072500
X: -99.000000, Y: -59.000000, Z: -60.000000, Data: 2.653750
X: -99.000000, Y: -59.000000, Z: -61.000000, Data: 2.537500
X: -99.000000, Y: -59.000000, Z: -62.000000, Data: 2.310000
X: -99.000000, Y: -59.000000, Z: -63.000000, Data: 1.863750
X: -99.000000, Y: -59.000000, Z: -64.000000, Data: 1.392500
X: -99.000000, Y: -59.000000, Z: -65.000000, Data: 1.056250
X: -99.000000, Y: -59.000000, Z: -66.000000, Data: 0.891250
X: -99.000000, Y: -59.000000, Z: -67.000000, Data: 0.802500
X: -99.000000, Y: -59.000000, Z: -68.000000, Data: 0.662500
X: -99.000000, Y: -59.000000, Z: -69.000000, Data: 0.522500
X: -99.000000, Y: -59.000000, Z: -70.000000, Data: 0.573750
X: -99.000000, Y: -59.000000, Z: -71.000000, Data: 0.666250
X: -99.000000, Y: -59.000000, Z: -72.000000, Data: 0.752500
X: -99.000000, Y: -59.000000, Z: -73.000000, Data: 0.808750
X: -99.000000, Y: -59.000000, Z: -74.000000, Data: 0.987500
X: -99.000000, Y: -59.000000, Z: -75.000000, Data: 1.166250
X: -99.000000, Y: -59.000000, Z: -76.000000, Data: 1.321250
X: -99.000000, Y: -59.000000, Z: -77.000000, Data: 1.382500
X: -99.000000, Y: -59.000000, Z: -78.000000, Data: 1.507500
X: -99.000000, Y: -59.000000, Z: -79.000000, Data: 1.720000
X: -99.000000, Y: -59.000000, Z: -80.000000, Data: 1.971250
X: -99.000000, Y: -59.000000, Z: -81.000000, Data: 2.313750
X: -99.000000, Y: -59.000000, Z: -82.000000, Data: 2.428750
X: -99.000000, Y: -59.000000, Z: -83.000000, Data: 2.417500
X: -99.000000, Y: -59.000000, Z: -84.000000, Data: 2.353750
X: -99.000000, Y: -59.000000, Z: -85.000000, Data: 2.430000
X: -99.000000, Y: -59.000000, Z: -86.000000, Data: 2.623750
X: -99.000000, Y: -59.000000, Z: -87.000000, Data: 2.545000
X: -99.000000, Y: -60.000000, Z: -87.000000, Data: 2.595000
X: -99.000000, Y: -60.000000, Z: -86.000000, Data: 2.707500
X: -99.000000, Y: -60.000000, Z: -85.000000, Data: 2.695000
X: -99.000000, Y: -60.000000, Z: -84.000000, Data: 2.593750
X: -99.000000, Y: -60.000000, Z: -83.000000, Data: 2.566250
X: -99.000000, Y: -60.000000, Z: -82.000000, Data: 2.540000
X: -99.000000, Y: -60.000000, Z: -81.000000, Data: 2.367500
X: -99.000000, Y: -60.000000, Z: -80.000000, Data: 2.047500
X: -99.000000, Y: -60.000000, Z: -79.000000, Data: 1.822500
X: -99.000000, Y: -60.000000, Z: -78.000000, Data: 1.587500
X: -99.000000, Y: -60.000000, Z: -77.000000, Data: 1.500000
X: -99.000000, Y: -60.000000, Z: -76.000000, Data: 1.433750
X: -99.000000, Y: -60.000000, Z: -75.000000, Data: 1.272500
X: -99.000000, Y: -60.000000, Z: -74.000000, Data: 1.073750
X: -99.000000, Y: -60.000000, Z: -73.000000, Data: 0.863750
X: -99.000000, Y: -60.000000, Z: -72.000000, Data: 0.783750
X: -99.000000, Y: -60.000000, Z: -71.000000, Data: 0.846250
X: -99.000000, Y: -60.000000, Z: -70.000000, Data: 0.717500
X: -99.000000, Y: -60.000000, Z: -69.000000, Data: 0.582500
X: -99.000000, Y: -60.000000, Z: -68.000000, Data: 0.517500
X: -99.000000, Y: -60.000000, Z: -67.000000, Data: 0.570000
X: -99.000000, Y: -60.000000, Z: -66.000000, Data: 0.792500
X: -99.000000, Y: -60.000000, Z: -65.000000, Data: 1.005000
X: -99.000000, Y: -60.000000, Z: -64.000000, Data: 1.157500
X: -99.000000, Y: -60.000000, Z: -63.000000, Data: 1.508750
X: -99.000000, Y: -60.000000, Z: -62.000000, Data: 2.023750
